item_id,name,quantity,type_id,loc_id,buy
172,Oats,1.0,25,21,1
173,"Shredded Coconut",1.0,4,21,0
174,Pecans,1.0,9,21,0
175,"Semi-Sweet Chocolate Chips",1.0,9,21,1
176,"McCormik Salt Grinder",1.0,4,21,0
177,"McCormik Pepper Grinder",2.0,4,21,0
178,Blackberries,1.0,5,1,1
179,"Wheat Bread",1.0,7,8,0
180,"Dark Chocolate Covered Cashews",2.0,1,25,1
181,"Minute Maid Lite",1.0,21,26,1
182,"Soda Stream Flavor",1.0,4,0,0
183,Cheerios,1.0,1,23,0
184,"Frosted Flakes",1.0,1,23,0
185,HotDogs,1.0,5,10,0
186,"Skippy Peanut Butter",1.0,13,36,0
187,Peaches,3.0,4,1,1
188,"Campbells Tomato Soup",1.0,2,35,1
189,"Pretezel Rods",1.0,9,25,1
190,Peanuts,1.0,5,21,1
191,Honey,1.0,29,21,1
192,"Light Corn Syrup",1.0,4,21,1
193,"Candy Thermometer",1.0,4,0,1
